player_name,team,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,type,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts
Victor Bafutto,Mercer,4,1.7,120.7,21.3,83.3,83.33,13.6,25.0,13.4,30.2,0,0,0.0,5,6,0.833,0,0,0.0,6.1,0.0,0.0,Sr,10-Jun,0.48936599999999997,116.595,0.0,2022,65465,all,101.10600000000001,102.64399999999999,0.384307,3.5484199999999997,3.14908,1.4421,1.70698,7.31998,4.0,5.95289,1.36709,0.4,0.8,1.2,0.2,0.0,0.2,2.0
Angelo Allegri,Eastern Washington,30,60.2,102.5,16.5,46.9,48.39,4.8,13.5,3.6,11.4,20,29,0.69,35,80,0.43799999999999994,48,148,0.324,0.2,1.4,12.7,Sr,07-Jun,0.9207870000000001,96.2818,3.1,2022,65466,all,98.8105,98.8098,2.37553,125.895,-1.29411,-0.341783,-0.9523290000000001,-0.738865,24.1667,-0.456408,-0.282457,1.1667,2.8667,4.0333,0.5,0.6,0.0333,7.8
Deandre Thomas,Mount St. Mary's,15,42.8,108.0,16.6,52.1,55.26,2.1,10.3,9.0,15.3,23,32,0.7190000000000001,10,31,0.32299999999999995,27,66,0.409,0.3,0.9,33.0,Sr,05-Jun,1.14349,97.8825,2.2,2022,65468,all,100.9,104.45299999999999,2.06504,59.1808,-1.61842,-0.19173800000000002,-1.42668,-0.0412888,26.5333,0.0769066,-0.11819500000000001,0.4667,2.4,2.8667,1.1333,0.4,0.0667,8.2667
Robert Allen,Mississippi,28,40.2,103.3,15.1,47.8,54.17,11.7,11.6,9.2,24.2,35,51,0.6859999999999999,30,57,0.526,2,12,0.16699999999999998,3.2,2.1,73.9,Sr,08-Jun,0.776582,99.1813,3.5,2022,65469,all,95.3122,91.5118,1.99332,83.4711,4.70986,1.23366,3.4762,3.46259,16.1429,0.9698709999999999,2.4927099999999998,1.6429,1.5714,3.2143,0.8214,0.5714,0.4286,3.6071
Larry Moreno,St. Francis NY,17,30.2,103.7,18.3,48.3,53.25,5.1,7.3,13.4,19.4,20,28,0.7140000000000001,9,30,0.3,13,29,0.44799999999999995,0.9,2.6,47.5,Sr,Jun-00,0.575469,97.5503,5.2,2022,65472,all,109.211,115.042,0.571681,40.158,-3.67945,-0.16433699999999998,-3.51511,-3.46748,13.5882,-0.8665889999999999,-2.60089,0.6471,0.8824,1.5294,1.1176,0.6471,0.1176,4.5294
Gabe Watson,Jackson St.,22,62.1,90.6,18.9,41.7,43.75,1.0,8.0,16.2,9.3,18,25,0.72,45,104,0.433,22,83,0.265,1.1,1.0,13.4,Sr,02-Jun,0.671659,92.7135,1.1,2022,65475,all,104.07700000000001,102.837,2.19921,84.2306,-2.2989599999999997,-1.08907,-1.20989,-1.14214,25.9545,-0.43676000000000004,-0.705382,0.2273,1.8182,2.0455,1.7273,0.4545,0.2273,7.9091
Hunter Tyson,Clemson,19,33.1,109.6,21.5,57.4,60.79,4.6,25.8,4.3,15.4,27,35,0.7709999999999999,25,50,0.5,22,51,0.431,2.4,1.7,34.7,Sr,08-Jun,1.90452,117.946,3.5,2022,65479,all,90.9441,85.5155,2.4317599999999997,68.9865,2.85439,1.13884,1.71555,6.33295,16.7895,3.76609,2.5668599999999997,0.6316,3.5263,4.1579,0.3158,0.4737,0.3158,7.5263
Montez Mathis,St. John's,28,52.7,91.3,23.5,43.0,45.2,5.3,9.4,7.2,12.7,39,68,0.574,62,147,0.42200000000000004,22,74,0.297,1.5,1.9,30.8,Sr,04-Jun,1.1579899999999999,101.083,4.5,2022,65480,all,102.27600000000001,94.2445,2.4152,95.2562,-0.46651899999999996,-0.561171,0.0946521,-1.68023,21.1786,-1.70144,0.021205599999999998,1.0,1.7857,2.7857,0.7857,0.6786,0.2857,8.1786
Caleb McConnell,Rutgers,20,40.6,88.2,18.4,35.3,38.38,5.7,15.3,12.1,11.9,16,20,0.8,34,90,0.37799999999999995,10,49,0.204,1.7,3.7,14.4,Sr,07-Jun,0.632392,93.2814,4.1,2022,65481,all,95.5852,87.9022,3.10094,97.0933,3.4479599999999997,-0.23606999999999997,3.6840300000000004,2.80058,22.85,-0.999812,3.80039,1.15,3.15,4.3,1.55,1.45,0.35,5.7
Eric Hunter Jr.,Purdue,24,65.0,97.5,17.9,42.8,47.15,2.1,6.3,17.1,18.8,38,47,0.809,50,113,0.442,22,81,0.272,0.9,2.1,24.2,Sr,04-Jun,1.65962,101.057,2.6,2022,65483,all,102.508,94.6556,3.424,120.014,1.99908,1.10486,0.8942190000000001,1.0962399999999999,30.5833,-0.371844,1.46809,0.5417,1.6667,2.2083,2.7917,1.0833,0.2083,8.5
MJ Randolph,Florida A&M,18,84.1,99.3,24.2,46.5,50.37,3.6,15.4,25.3,18.0,66,101,0.653,102,220,0.46399999999999997,2,6,0.33299999999999996,0.0,2.5,44.7,Sr,04-Jun,1.9405700000000001,100.213,2.0,2022,65487,all,95.26,100.18299999999999,3.5124,139.563,-0.45727700000000004,-1.0671899999999999,0.609913,0.399685,37.3889,-0.202504,0.6021890000000001,1.1667,5.2778,6.4444,4.4444,1.6667,0.0,15.3333
Cameron Healy,Central Michigan,12,21.4,77.6,20.2,32.6,37.79,0.0,12.8,9.6,12.5,8,9,0.889,6,20,0.3,6,26,0.231,0.0,2.1,19.6,Sr,03-Jun,-0.359197,76.1888,4.1,2022,65488,all,99.6684,105.405,0.8656530000000001,25.2924,-6.4013800000000005,-4.32264,-2.0787400000000003,-5.64319,11.4167,-5.14085,-0.502344,0.0,1.1667,1.1667,0.5833,0.4167,0.0,3.1667
Jermaine Couisnard,South Carolina,17,54.6,82.2,25.2,37.0,39.63,2.8,9.9,21.5,20.2,29,50,0.58,32,102,0.314,26,90,0.289,0.5,2.5,26.0,Jr,04-Jun,0.633239,92.0146,2.9,2022,65489,all,107.20100000000001,101.258,2.43572,83.2449,-1.7085299999999999,-0.8619370000000001,-0.8465950000000001,-2.7256,27.0,-1.90133,-0.8242780000000001,0.7647,2.2353,3.0,3.1765,1.2941,0.1176,10.0588
Colin Castleton,Florida,24,62.1,118.0,22.7,59.7,64.12,11.9,16.6,8.6,18.5,75,96,0.7809999999999999,111,185,0.6,0,1,0.0,9.2,1.2,51.6,Sr,11-Jun,3.8664099999999997,128.334,3.3,2022,65492,all,96.97,91.3442,3.22315,131.653,8.2638,3.2509099999999997,5.0128900000000005,7.41211,26.0,4.72426,2.68785,2.4583,3.9167,6.375,1.0833,0.5417,2.2083,12.375
David DeJulius,Cincinnati,19,61.0,96.0,19.8,40.6,44.59,1.0,16.7,28.4,16.2,31,40,0.775,47,96,0.49,16,79,0.203,0.2,1.5,22.9,Sr,Jun-00,1.49928,99.8891,2.3,2022,65493,all,103.211,98.9109,2.9041200000000003,98.9274,0.142266,0.480054,-0.33778800000000003,0.9517979999999999,29.5263,0.179027,0.772771,0.2632,4.2105,4.4737,4.2105,0.7895,0.0526,9.1053
